epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6164,2.5377,3.9595,1.49677,0.67193,0.24515,0.35652,0.1627,1.8373,2.52184,1.14618,0.000551185,0.000551185,0.000551185
2,63.1511,2.33458,2.88798,1.42129,0.3815,0.30998,0.26647,0.12137,1.94409,2.0288,1.26192,0.00110137,0.00110137,0.00110137
3,90.0116,2.3056,2.46227,1.4097,0.29796,0.36931,0.2841,0.10971,1.93629,2.04487,1.24648,0.00164606,0.00164606,0.00164606
4,116.504,2.28513,2.27706,1.42915,0.30588,0.33379,0.24145,0.11308,1.98702,2.00055,1.26415,0.00164225,0.00164225,0.00164225
5,142.935,2.22566,2.10247,1.39546,0.47547,0.46578,0.43457,0.19322,1.87166,1.78787,1.22146,0.00163399,0.00163399,0.00163399
6,169.056,2.19658,2.03685,1.38229,0.56638,0.57281,0.58548,0.3023,1.63947,1.47775,1.15571,0.00162574,0.00162574,0.00162574
7,196.035,2.15458,1.97455,1.35523,0.45349,0.52207,0.49328,0.24167,1.85347,1.69788,1.19861,0.00161749,0.00161749,0.00161749
8,222.91,2.1151,1.87684,1.33631,0.51938,0.47859,0.46874,0.20428,1.97381,1.78191,1.24981,0.00160924,0.00160924,0.00160924
9,247.593,2.08843,1.84794,1.32551,0.44295,0.39352,0.36152,0.15905,1.88676,1.72171,1.23443,0.00160099,0.00160099,0.00160099
10,275.004,2.05952,1.79913,1.30668,0.47696,0.50328,0.48012,0.24454,1.83377,1.76057,1.2329,0.00159274,0.00159274,0.00159274
11,301.911,2.0312,1.76053,1.29328,0.47051,0.50336,0.4774,0.21417,1.8526,1.73716,1.21041,0.00158448,0.00158448,0.00158448
12,328.411,2.04389,1.76539,1.29835,0.48925,0.49139,0.49128,0.2333,1.88987,1.67353,1.23615,0.00157623,0.00157623,0.00157623
13,354.746,2.01392,1.68939,1.27589,0.40318,0.29427,0.29708,0.12671,2.35454,2.10426,1.43518,0.00156798,0.00156798,0.00156798
14,381.215,2.00588,1.64129,1.27087,0.5598,0.50893,0.54061,0.24986,1.90949,1.60124,1.22973,0.00155973,0.00155973,0.00155973
15,408.25,1.98516,1.61238,1.26331,0.6085,0.4441,0.53713,0.22573,2.11642,1.87467,1.33503,0.00155148,0.00155148,0.00155148
16,431.386,1.95764,1.57775,1.24717,0.62101,0.55495,0.58648,0.27702,1.76666,1.56647,1.19296,0.00154323,0.00154323,0.00154323
17,455.393,1.93298,1.52188,1.24379,0.50806,0.64206,0.56616,0.2785,1.82596,1.50063,1.19226,0.00153497,0.00153497,0.00153497
18,482.078,1.91479,1.51225,1.2252,0.56522,0.59161,0.53241,0.20797,2.15238,1.69817,1.34082,0.00152672,0.00152672,0.00152672
19,505.265,1.93587,1.52587,1.24388,0.42384,0.54599,0.45588,0.24016,1.77358,1.54235,1.17963,0.00151847,0.00151847,0.00151847
20,530.284,1.91176,1.49012,1.22702,0.48469,0.61982,0.4919,0.24006,1.89884,1.55131,1.23064,0.00151022,0.00151022,0.00151022
21,557.295,1.87927,1.44804,1.21109,0.56404,0.56208,0.49473,0.26922,1.69626,1.50066,1.147,0.00150197,0.00150197,0.00150197
22,583.822,1.85675,1.42657,1.20742,0.62313,0.68401,0.62765,0.30882,1.82735,1.42681,1.1857,0.00149372,0.00149372,0.00149372
23,609.996,1.86477,1.42766,1.21126,0.58216,0.55296,0.53363,0.25457,1.82895,1.49172,1.17395,0.00148546,0.00148546,0.00148546
24,635.838,1.86316,1.41208,1.20409,0.52148,0.50939,0.48521,0.24934,1.94703,1.63752,1.24055,0.00147721,0.00147721,0.00147721
25,661.925,1.8551,1.39616,1.20139,0.54947,0.59824,0.60647,0.2874,1.87109,1.30943,1.18284,0.00146896,0.00146896,0.00146896
26,688.27,1.84588,1.37809,1.19905,0.63103,0.64833,0.67442,0.36215,1.87058,1.29363,1.18061,0.00146071,0.00146071,0.00146071
