epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4843,1.07352,3.94356,1.36774,0.00896,0.90979,0.13403,0.1173,0.49902,3.32877,0.96172,0.0032381,0.0032381,0.0032381
2,54.6269,0.80046,2.48344,1.1609,0.86058,0.15535,0.41871,0.34348,0.59514,2.69653,0.98024,0.00656492,0.00656492,0.00656492
3,69.436,0.79856,1.82265,1.1481,0.45086,0.22412,0.2283,0.17229,0.69446,2.90299,1.07857,0.00988515,0.00988515,0.00988515
4,83.4192,0.80615,1.63826,1.16012,0.3855,0.37276,0.38579,0.29236,0.73667,2.27999,1.15964,0.0099703,0.0099703,0.0099703
5,96.956,0.77816,1.4939,1.14371,0.48356,0.32016,0.29746,0.21969,0.85059,2.70743,1.21416,0.0099604,0.0099604,0.0099604
6,110.663,0.77861,1.36014,1.14403,0.55576,0.48017,0.5206,0.41644,0.70684,1.88234,1.13435,0.0099505,0.0099505,0.0099505
7,124.875,0.74769,1.25837,1.13093,0.55701,0.37486,0.39211,0.30821,0.76198,2.96067,1.15595,0.0099406,0.0099406,0.0099406
8,138.259,0.7404,1.19184,1.12512,0.72805,0.54308,0.64278,0.53185,0.65255,1.21258,1.0575,0.0099307,0.0099307,0.0099307
9,151.132,0.72595,1.11789,1.11631,0.5734,0.45345,0.49892,0.41838,0.59559,2.17342,1.02744,0.0099208,0.0099208,0.0099208
10,164.004,0.72029,1.07959,1.11137,0.59359,0.62209,0.6521,0.55803,0.5385,1.20603,0.97759,0.0099109,0.0099109,0.0099109
11,176.843,0.69476,1.02453,1.1037,0.65169,0.52751,0.55571,0.47367,0.53873,1.98727,0.97151,0.009901,0.009901,0.009901
12,190.418,0.69278,0.97858,1.09707,0.5437,0.44323,0.41331,0.3328,0.6137,2.31527,1.07431,0.0098911,0.0098911,0.0098911
13,204.402,0.6863,0.94371,1.09759,0.42981,0.51686,0.50054,0.4147,0.59996,1.61134,1.05116,0.0098812,0.0098812,0.0098812
14,218.418,0.68113,0.92549,1.09611,0.74281,0.67651,0.78516,0.68248,0.48941,0.79154,0.94791,0.0098713,0.0098713,0.0098713
15,232.369,0.67219,0.88242,1.08961,0.75792,0.5801,0.67295,0.57668,0.55655,1.1955,0.99371,0.0098614,0.0098614,0.0098614
16,246.341,0.65957,0.87327,1.07997,0.72255,0.75711,0.78254,0.68684,0.49542,0.94155,0.95415,0.0098515,0.0098515,0.0098515
17,260.319,0.66456,0.85128,1.08756,0.71368,0.66493,0.72807,0.62853,0.53221,0.83681,0.96567,0.0098416,0.0098416,0.0098416
18,274.298,0.64885,0.84572,1.07329,0.75292,0.65447,0.76539,0.66972,0.47879,0.7781,0.96785,0.0098317,0.0098317,0.0098317
19,288.322,0.65134,0.82265,1.07654,0.7307,0.72604,0.77787,0.66969,0.51744,0.88491,0.96293,0.0098218,0.0098218,0.0098218
20,302.496,0.65167,0.80025,1.07957,0.81096,0.72731,0.81262,0.71331,0.44339,0.8051,0.93238,0.0098119,0.0098119,0.0098119
21,316.506,0.63961,0.78318,1.06481,0.83723,0.75628,0.84052,0.74103,0.46707,0.71388,0.93627,0.009802,0.009802,0.009802
22,330.53,0.64429,0.77594,1.07184,0.83631,0.68187,0.82487,0.73585,0.50083,0.7027,0.9747,0.0097921,0.0097921,0.0097921
23,344.492,0.63118,0.77276,1.0649,0.85284,0.71018,0.80155,0.71387,0.42804,0.60739,0.91649,0.0097822,0.0097822,0.0097822
24,358.573,0.63566,0.75585,1.06428,0.58987,0.6251,0.63339,0.5394,0.47666,1.23352,0.93802,0.0097723,0.0097723,0.0097723
25,372.599,0.62401,0.75186,1.06249,0.8661,0.72416,0.85134,0.76241,0.49331,0.68134,0.95697,0.0097624,0.0097624,0.0097624
26,386.565,0.62068,0.74825,1.06211,0.85239,0.65642,0.78706,0.6884,0.48343,0.76336,0.93706,0.0097525,0.0097525,0.0097525
27,400.176,0.61803,0.72749,1.05924,0.81042,0.75823,0.82697,0.74894,0.45138,0.69874,0.90813,0.0097426,0.0097426,0.0097426
28,414.211,0.61632,0.71799,1.05831,0.79446,0.77356,0.84767,0.75745,0.45217,0.692,0.93758,0.0097327,0.0097327,0.0097327
29,428.391,0.60966,0.70879,1.05335,0.8736,0.80854,0.87512,0.78836,0.4434,0.58031,0.94238,0.0097228,0.0097228,0.0097228
30,442.474,0.62464,0.72536,1.06379,0.80964,0.75919,0.84559,0.75585,0.43773,0.63509,0.91403,0.0097129,0.0097129,0.0097129
31,455.705,0.61275,0.69771,1.06036,0.86262,0.76149,0.84181,0.7509,0.41712,0.53949,0.90587,0.009703,0.009703,0.009703
32,469.587,0.61315,0.69467,1.05432,0.80004,0.57018,0.70261,0.6281,0.5097,0.91728,0.9675,0.0096931,0.0096931,0.0096931
33,483.543,0.61188,0.69803,1.05846,0.74719,0.74598,0.80547,0.70235,0.46227,0.81176,0.9611,0.0096832,0.0096832,0.0096832
34,497.483,0.608,0.68592,1.05657,0.8342,0.76222,0.84211,0.76085,0.40222,0.55557,0.89236,0.0096733,0.0096733,0.0096733
35,511.5,0.6023,0.68213,1.05328,0.85949,0.77811,0.85917,0.76464,0.41844,0.55354,0.90063,0.0096634,0.0096634,0.0096634
36,525.48,0.60491,0.67841,1.0516,0.83008,0.75064,0.83825,0.75986,0.41625,0.63901,0.91323,0.0096535,0.0096535,0.0096535
